code_identifiant;Date de début de l’information de sécurité;Date de fin de l’information de sécurité;information_de_sécurite
65262744;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65316487;2015-06-04;2015-12-04;Médicaments contenant de l’ibuprofène, de la polymyxine, de la dompéridone : retour sur la réunion de mai 2015 du CMDh
65355223;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65364681;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
65370047;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65516662;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d’emploi et des règles de bon usage
65539814;2014-07-15;2016-07-15;Médicaments contenant de la bromocriptine, de la méthadone et de la povidone, de l’ivabradine , de la testostérone, du valproate (DEPAKOTE®, et ponatinib  de juillet 2014
65618140;2013-06-11;2016-06-11;Protelos (ranélate de strontium) : nouvelles restrictions d'utilisation en raison d'une augmentation du risque d'infarctus du myocarde
65624264;2014-09-01;2016-09-01;De nouvelles recommandations pour minimiser les risques cardiaques des médicaments contenant de la dompéridone
65629845;2012-09-25;2016-03-25;Plan d'actions de l'ANSM visant à réduire le mésusage des benzodiazépines
65685438;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d’emploi et des règles de bon usage
65693901;2013-01-17;2016-01-17;PRADAXA : contre-indication chez les patients porteurs de prothèses valvulaires cardiaques nécessitant un traitement anticoagulant – Lettre aux professionnels de santé
65717163;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65745682;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65822577;2014-04-22;2016-10-22;Actualisation du rapport sur les anticoagulants en France : Etat des lieux en 2014 et recommandations de surveillance
65823736;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65847744;2014-11-26;2016-11-26;Usage détourné de médicaments antitussifs à base de dextrométhorphane chez les adolescents et les jeunes adultes
65862671;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65895301;2012-10-08;2016-10-08;Modification des indications de la lévofloxacine (TAVANIC®) et mise à jour des informations relatives à la sécurité d'emploi
65942167;2012-09-25;2016-03-25;Méthylphenidate - Rappel des conditions de prescription, de délivrance et de surveillance
65999556;2013-07-08;2016-07-08;LARIAM® (méfloquine) : actualisation du profil de tolérance - Information importante de Pharmacovigilance
66074706;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
66104989;2013-12-19;2015-12-19;XELODA (Capécitabine) et génériques : des réactions cutanées sévères sont possibles
66152222;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
66155503;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d’emploi et des règles de bon usage
66227625;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
66298483;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
66317916;2012-10-08;2016-10-08;Modification des indications de la lévofloxacine (TAVANIC®) et mise à jour des informations relatives à la sécurité d'emploi
66334552;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
66364570;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
62024403;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
62031508;2013-02-05;2016-02-05;Adrénaline en auto-injecteur : élargissement de l'offre thérapeutique et rappel de bon usage
62094280;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
62115970;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
62148714;2014-04-22;2016-10-22;Actualisation du rapport sur les anticoagulants en France : Etat des lieux en 2014 et recommandations de surveillance
62183964;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62207600;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
62263022;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
62274111;2013-07-18;2015-11-20;Médicaments contenant de l'hydroxyéthylamidon : Point d'étape sur la réévaluation du bénéfice/risque -
62301366;2015-06-04;2015-12-04;Médicaments contenant de l’ibuprofène, de la polymyxine, de la dompéridone : retour sur la réunion de mai 2015 du CMDh
62365059;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62379354;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62402116;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62419546;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62429960;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62435881;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
62448170;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62527632;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
62546668;2012-10-08;2016-10-08;Modification des indications de la lévofloxacine (TAVANIC®) et mise à jour des informations relatives à la sécurité d'emploi
62603012;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
62608283;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
62610074;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
62611660;2012-11-08;2015-11-08;Restriction des indications des spécialités à base de trimétazidine (Vastarel® et génériques)
62629676;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
62834599;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
62847290;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
65254854;2015-04-13;2016-04-13;Recommandations du PRAC concernant le risque cardiovasculaire des médicaments contenant de l’ibuprofène utilisés à fortes doses
65314657;2014-06-04;2015-12-04;Point sur le vol de médicaments en Italie : Avastin et Mab Thera sont également concernés avec Herceptin, Remicade et Alimta
65410876;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65422056;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
65467329;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65506020;2013-09-13;2017-09-13;Risque de syndrome de l'iris hypotonique peropératoire (SIHP) associé à un traitement par rispéridone ou palipéridone chez les patients devant subir une chirurgie de la cataracte
65507033;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
65534831;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
65550846;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
65558501;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65558501;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d’emploi et des règles de bon usage
65585384;2012-09-25;2016-03-25;Plan d'actions de l'ANSM visant à réduire le mésusage des benzodiazépines
65780103;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
65862671;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
65907376;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
65908097;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
65938724;2011-12-06;2016-08-06;Médicaments à base de dompéridone et sécurité d'emploi cardiovasculaire
65973262;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
65982642;2014-11-24;2016-11-24;Dispositifs transdermiques (patchs) : attention aux erreurs
65995604;2014-07-15;2016-07-15;Médicaments contenant de la bromocriptine, de la méthadone et de la povidone, de l’ivabradine , de la testostérone, du valproate (DEPAKOTE®, et ponatinib  de juillet 2014
66032251;2014-04-22;2016-10-22;Actualisation du rapport sur les anticoagulants en France : Etat des lieux en 2014 et recommandations de surveillance
66073305;2014-09-15;2016-03-15;Médicaments à base d’ambroxol ou de bromhexine, agomélatine (Valdoxan)  de septembre 2014
66159149;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
66164527;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
66271415;2015-04-13;2016-04-13;Recommandations du PRAC concernant le risque cardiovasculaire des médicaments contenant de l’ibuprofène utilisés à fortes doses
66288311;2013-02-25;2016-02-25;Allopurinol et risques de survenue d'atteintes cutanées graves : rappels des précautions d'emploi et des règles de bon usage
66298483;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
66319632;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
66336667;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
66368444;2013-09-03;2017-09-03;Nouveau stylo injecteur de ViraferonPeg (Clearclick) : mise à disposition et recommandations pour une utilisation sécurisée
63177067;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63177843;2013-07-30;2016-07-30;Recommandations du Comité des médicaments à usage humain (CHMP) relatives à l’utilisation du métoclopramide, du kétoconazole par voie orale et des incrétinomimétiques
63181966;2013-03-20;2016-03-20;NeuroBloc® (Toxine botulinique de type B) : Rappel des indications et des risques associés à une utilisation hors Autorisation de Mise sur le Marché (AMM)
63196256;2014-01-08;2016-01-08;Etat des lieux en 2013 de la consommation des benzodiazépines en France
63230865;2012-09-25;2016-03-25;Méthylphenidate - Rappel des conditions de prescription, de délivrance et de surveillance
63243923;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63290816;2014-11-24;2016-11-24;Dispositifs transdermiques (patchs) : attention aux erreurs
63429842;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
63450263;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
63472313;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
63493656;2014-12-16;2015-12-16;Médicaments contenant de l’ambroxol ou de la bromhexine, médicaments contenant de l’ibuprofène utilisés à fortes doses,
63506242;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63512028;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
63517751;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
63521372;2015-06-04;2015-12-04;Médicaments contenant de l’ibuprofène, de la polymyxine, de la dompéridone : retour sur la réunion de mai 2015 du CMDh
63527749;2014-01-08;2016-01-08;Etat des lieux en 2013 de la consommation des benzodiazépines en France
63586270;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
63605055;2014-06-17;2015-12-17;Médicaments contenant de la bromocriptine, médicaments contenant de la méthadone et de la povidone, médicaments contenant de l’ibuprofène utilisés à fortes doses
63628328;2014-06-25;2016-06-25;Fentanyl Dispositifs Transdermiquestchs) : Risque d’exposition accidentelle pouvant mettre en jeu le pronostic vital
63630635;2014-02-20;2016-08-20;Réévaluation en cours des spécialités à base de dompéridone et rappel des recommandations
63755329;2015-04-13;2016-04-13;Recommandations du PRAC concernant le risque cardiovasculaire des médicaments contenant de l’ibuprofène utilisés à fortes doses
63759313;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
63783549;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
63804370;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
63819130;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
63887003;2015-05-18;2015-11-18;Démarrage par le PRAC d’un arbitrage concernant Tysabri et de l’évaluation de l’impact du risque de pneumopathie sur le traitement de la BPCO par corticoïdes inhalés
63927896;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d’emploi et des règles de bon usage
63941999;2014-01-08;2016-01-08;Etat des lieux en 2013 de la consommation des benzodiazépines en France
63945271;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
63975542;2015-09-17;2016-03-17;Recommandation temporaire d'utilisation (RTU) de Thalidomide Celgene (thalidomide) - Documents de référence
63985077;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64027679;2011-12-05;2016-12-05;Biphosphonates et fractures atypiques du fémur
64071939;2014-12-16;2015-12-16;Médicaments contenant de l’ambroxol ou de la bromhexine, médicaments contenant de l’ibuprofène utilisés à fortes doses,
64083553;2014-04-22;2016-10-22;Actualisation du rapport sur les anticoagulants en France : Etat des lieux en 2014 et recommandations de surveillance
64100013;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64103340;2015-05-12;2016-05-12;Statines et myopathie nécrosante immuno-médiée : renforcement des informations de sécurité
64118627;2012-10-01;2016-10-01;Pilules estroprogestatives et risque thrombotique
64142293;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
64166497;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64205548;2014-10-15;2016-04-15;Iclusig (ponatinib), médicaments à base de testostérone, médicaments contenant du valproate et dérivés (divalproate de sodium / valpromide) : retour d’information sur le PRAC d’octobre 2014
64219163;2014-03-14;2015-12-14;Immunoglobulines humaines polyvalentes intraveineuses : tension d’approvisionnement sur le marché français
64220863;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64233113;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64305616;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64360267;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64474477;2012-12-17;2016-12-17;Consommation des benzodiazépines : Bien respecter les règles de bon usage pour limiter les risques dont celui de démence
64502115;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64505061;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64526187;2014-06-17;2015-12-17;Médicaments contenant de la bromocriptine, médicaments contenant de la méthadone et de la povidone, médicaments contenant de l’ibuprofène utilisés à fortes doses
64545198;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64563794;2014-02-20;2016-08-20;Réévaluation en cours des spécialités à base de dompéridone et rappel des recommandations
64604935;2013-11-27;2015-11-27;Clopidogrel et risque d’hémophilie acquise
64756409;2014-12-09;2015-12-09;Statines et risque de diabète : le rapport bénéfice/risque reste toujours positif
64851768;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64859537;2013-03-13;2016-09-13;Médicaments antihypertenseurs agissant sur le système rénine-angiotensine : rappels des précautions d'emploi et des règles de bon usage
64872680;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
64883869;2013-11-13;2015-11-13;JEVTANA (cabazitaxel) : informations importantes concernant le risque d’erreur lors de la préparation
64893315;2014-04-14;2016-03-14;Retour d'information sur le PRAC - Médicaments utilisés dans le double blocage du système rénine-angiotensine, à base de valproate, d’ambroxol ou de bromhexine, de codéine chez l’enfant, de testostérone, vaccins anti-HPV
64954736;2013-11-08;2015-11-08;Médicaments contenant de la diacéréine (ART 50, ZONDAR et génériques) Médicaments utilisés dans le double blocage du système rénine-angiotensine
