code_identifiant;format_administration;Code de la substance;denomination_de_la_substance;dosage_de_la_substance;réferent_dosage;Nature du composant;Numéro permettant de lier, le cas échéant, substances actives et fractions thérapeutiques
63146424;Comprimé;60929;DICHLORHYDRATE DE CÉTIRIZINE;5 mg;un comprimé;Principe Actif;1
63159891;Comprimé;561;LORAZÉPAM;2,50 mg;un comprimé;Principe Actif;1
63163224;Compartiment acides aminés;96;HYDROXYDE DE POTASSIUM;0,11 g;125 ml;Principe Actif;35
63163224;Compartiment acides aminés;555;LEUCINE;0,46 g;125 ml;Principe Actif;10
63167525;Dispositif;2934;TESTOSTÉRONE;8,4 mg;un dispositif;Principe Actif;1
63182694;Solution;4280;TARTRATE D'ADRÉNALINE;0,04086 mg;une cartouche de 1,8 ml;Principe Actif;2
63183821;Solution;1178;ARGININE;5,75 g;1000 ml de solution pour perfusion;Principe Actif;10
63193324;Poudre orale;26151;CROTON TIGLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;un comprimé;Principe Actif;24
63202353;Solution;17477;FENTANYL;100 microgrammes;un flacon pulvérisateur;Fraction Thérapeutique;1
63209020;Gélule;74746;OSÉLTAMIVIR;45 mg;une gélule;Fraction Thérapeutique;1
63226190;Gélule;39422;PRÉGABALINE;300 mg;une gélule;Principe Actif;1
63244391;Gélule;4773;OMÉPRAZOLE;20 mg;une gélule;Principe Actif;1
63262521;Solution;4813;GLUCONATE DE COBALT;114,34 mg;1000 ml;Principe Actif;7
63269327;Poudre;92529;ÉPOPROSTÉNOL SODIQUE;;;Principe Actif;1
63274872;Gel;4546;FLUORURE DE SODIUM;1,1 g;100 g;Principe Actif;10
63280544;Granules;39116;GINKGO BILOBA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;14
63286611;Poudre;1356;ABEILLE (VENIN D');110 microgrammes;un flacon de poudre;Principe Actif;1
63301141;Granules;22712;MILLEFOLIUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
63304130;Granules;4611;FUMARIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;19
63313859;Suppositoire;10791;TERPINOL;10,0 mg;un suppositoire;Principe Actif;2
63316225;Gélule;767;ACIDE CHOLIQUE;50 mg;une gélule;Principe Actif;1
63337059;Compartiment 2 : solution d'acides aminés et élect;6;ACIDE ASPARTIQUE;2,6 g;750 ml;Principe Actif;5
63354489;Granules;24551;VINCA MINOR POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;19
66804781;Capsule;923;ALPHA-TOCOPHÉROL;4 mg;un capsule;Principe Actif;2
63359632;Comprimé;86953;ADONIS VERNALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;18
63363997;Solution a;3008;DL-LYSINE (MONOCHLORHYDRATE DE);0,200 g;5 ml;Principe Actif;3
63371588;Comprimé;52431;PÉRINDOPRIL;6,68 mg;un comprimé;Fraction Thérapeutique;1
63372843;Comprimé;28847;DARUNAVIR;800 mg;un comprimé;Fraction Thérapeutique;1
63380765;Pommade;58995;YUCCA FILAMENTOSA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);8 ml de solution;Principe Actif;24
63395596;Gélule;98322;TACROLIMUS MONOHYDRATÉ;5 mg;une gélule;Principe Actif;1
63409284;Solution;101;CHLORHYDRATE DE PROCAÏNE;10 mg;1 ml de solution injectable;Principe Actif;1
63410532;Gélule;20256;CHLORHYDRATE DE VENLAFAXINE;;;Principe Actif;1
63419307;Gélule;862;LACTOBACILLUS CASEI;250 mg;une gélule;Principe Actif;1
63429333;Comprimé;67373;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;45,10 mg;un comprimé;Principe Actif;1
63436769;Solution;37430;RISPÉRIDONE;1,000 mg;1 ml;Principe Actif;1
63443190;Comprimé;28293;ACÉTATE DE NOMÉGESTROL;3,75 mg;un comprimé;Principe Actif;1
63444278;Pommade;18614;EUPATORIUM PERFOLIATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);10 ml;Principe Actif;24
65913863;Pommade;26701;VERBASCUM THAPSUS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);une gélule;Principe Actif;24
65916489;Comprimé;30470;PRASUGREL;10 mg;un comprimé;Fraction Thérapeutique;1
65919930;Poudre;5248;AMOXICILLINE ANHYDRE;100 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;1
65919930;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
65919930;Poudre;93286;ACIDE CLAVULANIQUE;12,50 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;2
65923640;Suppositoire;3970;PHLOROGLUCINOL (TRIMÉTHYL ÉTHER DU);0,1500 g;un suppositoire de 2,800 g;Principe Actif;3
65929796;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
65929796;Poudre;93286;CLAVULANIQUE (ACIDE);12,5 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;2
65940586;Solution;93;CHLORURE DE POTASSIUM;0,3 g;1000 ml de solution;Principe Actif;2
65945665;Solution;93066;TOPOTÉCANE;1 mg;1 ml de solution;Fraction Thérapeutique;1
65967124;Solution;14159;INDIUM [111 IN] (CHLORURE D');37 MBq à la date de calibration;1 ml;Principe Actif;1
65998988;Comprimé;602;CHLORHYDRATE DE MIANSÉRINE;60 mg;un comprimé;Principe Actif;1
66009288;Poudre;4910;FACTEUR VIII DE COAGULATION HUMAIN;500 UI;5 ml;Principe Actif;1
66032721;Émulsion;6;ACIDE ASPARTIQUE;1,65 g;1000 ml d'émulsion reconstituée;Principe Actif;3
66039057;Sirop;2543;OXOMÉMAZINE;0,033 g;100 ml de sirop;Principe Actif;1
66064765;Granules;4409;AMMONIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml;Principe Actif;17
66066271;Solution;46352;DARBÉPOÉTINE ALFA;25 microgrammes;1 ml;Principe Actif;1
66067708;Solution d'acides aminés;675;VALINE;3,1 g;500 ml;Principe Actif;8
66067708;Solution d'acides aminés;4683;ACIDE CHLORHYDRIQUE;1,47 ml;500 ml;Principe Actif;21
66074706;Gélule;70833;TRANDOLAPRIL;0,5 mg;une gélule;Principe Actif;1
66086808;Comprimé;2825;PHÉNOBARBITAL;100 mg;un comprimé;Principe Actif;4
66093838;Comprimé;65086;KALIUM ARSENICOSUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;un sachet de 1,01 g;Principe Actif;18
66101174;Solution;901;SODIUM (CHLORURE DE);0,9 g;100 ml;Principe Actif;2
66121209;Solution;45730;SODIUM;4,500 g;1000 ml;Principe Actif;3
66124970;Comprimé;15734;VALSARTAN;160 mg;un comprimé;Principe Actif;1
66150246;Comprimé;2092;IBUPROFÈNE;400 mg;un comprimé;Principe Actif;1
66172723;Granules;23055;HEDERA HELIX POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;19
66176935;Comprimé;72723;CALCIUM ÉLÉMENT;500 mg;un comprimé;Fraction Thérapeutique;1
66185425;Comprimé;2202;PARACÉTAMOL;500 mg;un comprimé;Principe Actif;1
66187216;Poudre;58807;SULÉSOMAB;0,31 mg;un flacon;Principe Actif;8
66203873;Comprimé;3981;MÉTASULFOBENZOATE SODIQUE DE PREDNISOLONE;31,44 mg;un comprimé;Principe Actif;1
66226772;Solution;33959;SOLUTION DE DIGLUCONATE DE CHLORHEXIDINE;0,5 ml;100 ml de solution pour bain de bouche;Principe Actif;1
66229252;Solution;76996;STREPTOCOCCUS PNEUMONIAE SÉROTYPE 5 (POLYOSIDES DE);25 microgrammes;une dose de 0,5 ml;Principe Actif;5
67334338;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
67344026;Comprimé;73208;PRAVASTATINE SODIQUE;20 mg;un comprimé;Principe Actif;1
67346447;Poudre orale;7911;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;18
67348487;Solution;93;CHLORURE DE POTASSIUM;0,10 g;1 ml;Principe Actif;1
67351316;Pommade;7911;KALIUM PHOSPHORICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé;Principe Actif;24
67365650;Comprimé blanc;71064;ESTRADIOL HÉMIHYDRATÉ;;;Principe Actif;1
67386032;Comprimé;2092;IBUPROFÈNE;200 mg;un comprimé;Principe Actif;1
67398796;Comprimé;17723;OLANZAPINE;10 mg;un comprimé;Principe Actif;1
67400941;Granules;16278;COLLINSONIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
67400941;Poudre orale;16278;COLLINSONIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;23
67406111;Comprimé;54459;BUPRÉNORPHINE;0,4 mg;un comprimé;Fraction Thérapeutique;1
67433083;Comprimé;89971;ESCITALOPRAM;15 mg;un comprimé;Fraction Thérapeutique;1
67459644;Solution;95609;LÉVÉTIRACÉTAM;100 mg;1 ml de solution buvable;Principe Actif;1
67481950;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,500 mg;un comprimé;Principe Actif;13
67486972;Collyre;15401;KETOTIFÈNE;0,250 mg;1 ml;Fraction Thérapeutique;1
67487309;Comprimé;89971;ESCITALOPRAM;20 mg;un comprimé;Fraction Thérapeutique;1
67491631;Solution buvable en ampoules;19164;HELLEBORUS NIGER POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;un comprimé;Principe Actif;23
67507637;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,50 mg;un comprimé;Principe Actif;2
67508326;Comprimé;96973;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ;43,5 mg;un comprimé;Principe Actif;1
67530931;Comprimé;15945;SALICYLATE D'ÉSÉRIDINE MONOHYDRATÉ;4,689 mg;un comprimé;Principe Actif;1
67541600;Comprimé;66240;RILMÉNIDINE;1 mg;un comprimé;Fraction Thérapeutique;1
67546191;Poudre;41788;PROPIONATE DE FLUTICASONE;100 microgrammes;une dose;Principe Actif;1
67547090;Comprimé;4442;METFORMINE;662,90 mg;un comprimé;Fraction Thérapeutique;1
67557120;Poudre;15487;TICARCILLINE BASE;5,000 g;un flacon de 5,810 g;Fraction Thérapeutique;1
67560860;Comprimé;67373;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;45,10 mg;un comprimé;Principe Actif;1
67562690;Pommade;97488;BAMBUSA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);1 ml;Principe Actif;24
67587455;Solution buvable en gouttes;4119;AVENA SATIVA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;20
67588728;Comprimé;987;ACÉTATE DE CYPROTÉRONE;50 mg;un comprimé;Principe Actif;1
67596066;Solution;901;CHLORURE DE SODIUM;0,4 g;100 ml;Principe Actif;2
67598964;Gélule;23957;LANSOPRAZOLE;30 mg;une gélule;Principe Actif;1
67614354;Comprimé;73208;PRAVASTATINE SODIQUE;40 mg;un comprimé;Principe Actif;1
67619878;Comprimé;5087;OXYCODONE (CHLORHYDRATE D');40 mg;un comprimé;Principe Actif;1
67626068;Granules;99598;CADMIUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;1 ml de solution reconstituée;Principe Actif;19
67627711;Solution a;901;CHLORURE DE SODIUM;7,52 g;1000 ml;Principe Actif;3
67627992;Comprimé;1400;CHLORDIAZÉPOXIDE;5 mg;un comprimé;Principe Actif;6
67632249;Comprimé;86162;MONTÉLUKAST SODIQUE;;;Principe Actif;1
67642695;Comprimé;48528;LOSARTAN POTASSIQUE;100,000 mg;un comprimé;Principe Actif;1
67653535;Solution;726;MÉTOCLOPRAMIDE (CHLORHYDRATE DE) MONOHYDRATÉ;;;Principe Actif;1
67656314;Poudre orale;95807;HUMULUS LUPULUS SICCUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;23
67658226;Solution;4028;ALVÉRINE (CITRATE D');0,014 g;100 ml;Principe Actif;8
67691977;Solution;33959;SOLUTION DE DIGLUCONATE DE CHLORHEXIDINE;1,065 g;100 ml;Principe Actif;2
67709496;Comprimé;10171;SIMVASTATINE;10 mg;un comprimé;Principe Actif;1
67730914;Lyophilisat;3102;CANRÉNOATE DE POTASSIUM;0,200 g;une ampoule de lyophilisat;Principe Actif;1
67732107;Gélule;17407;ÉSOMÉPRAZOLE;40 mg;une gélule;Fraction Thérapeutique;1
67737086;Comprimé;30488;DIMALÉATE D'AFATINIB;29,56 mg;un comprimé;Principe Actif;1
67743961;Comprimé;2064;HYDROCHLOROTHIAZIDE;6,25 mg;un comprimé;Principe Actif;2
67758027;Solution;32925;TERBINAFINE (CHLORHYDRATE DE);11,25 mg;1 g de solution;Principe Actif;1
67772596;Poudre;6197;TRIPTORÉLINE;11,25 mg;une unité de prise;Fraction Thérapeutique;1
67786749;Suspension;58129;POLYOSIDE PNEUMOCOCCIQUE SÉROTYPE 1 CONJUGUÉ À LA PROTÉINE VECTRICE CRM197;2,2 microgrammes de polyoside pneumococcique;une dose (0,5 ml);Principe Actif;1
67791707;Comprimé;74765;CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ;20 mg;un comprimé;Principe Actif;6
67815268;Comprimé;7436;BISOPROLOL (HÉMIFUMARATE DE);1,25 mg;un comprimé;Principe Actif;1
67816854;Comprimé;4442;METFORMINE BASE;663 mg;un comprimé;Fraction Thérapeutique;1
67818595;Gélule;16849;GABAPENTINE;100 mg;une gélule;Principe Actif;1
67821132;Solution;2096;INTERFÉRON ALFA-2B;10 millions UI;un flacon de 1 ml de solution;Principe Actif;2
67827128;Gélule;17407;ÉSOMÉPRAZOLE;40 mg;une gélule;Fraction Thérapeutique;1
67861550;Gaz;44570;OXYGÈNE;qs (sous une pression de 10 à 15 bar;les évaporateurs mobiles, sous une pression de 1,7 à 3,9 b;Principe Actif;1
67864735;Comprimé;19809;ATORVASTATINE;20 mg;un comprimé;Fraction Thérapeutique;1
67884271;Poudre;97899;SOUFRE (HEXAFLUORURE DE);8 microlitres;1 ml;Principe Actif;1
67885537;Solution;4053;CITRATE DE PHÉNYLTOLOXAMINE;174,20 mg;100 ml de solution pour pulvérisation nasale;Principe Actif;2
67885882;Comprimé;1257;DICHLORHYDRATE DE BÉTAHISTINE;8 mg;un comprimé;Principe Actif;1
67890947;Solution;91695;LACTATE DE SODIUM ANHYDRE;3,925 g;1000 ml de solution prête à l'emploi;Fraction Thérapeutique;5
67899241;Comprimé;823;KÉTOPROFÈNE;75 mg;un comprimé;Principe Actif;5
67919092;Poudre;77082;ACÉTATE DE LANRÉOTIDE;;;Principe Actif;2
67931205;Collyre;9629;EUPHRASIA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;0,4 ml (3 DH);un récipient unidose de 0,4 ml;Principe Actif;1
67939013;Poudre;99303;CEFPODOXIME PROXÉTIL;;;Principe Actif;1
67971107;Comprimé;94881;MAGNÉSIUM;150 mg;un comprimé;Fraction Thérapeutique;1
67976385;Comprimé;1525;CHOLÉCALCIFÉROL;400 UI;un comprimé;Fraction Thérapeutique;7
67980088;Solution buvable en ampoules;32340;CALADIUM SEGUINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un sachet de 10 ml;Principe Actif;26
68006344;Solution;3261;MÉTACRÉSYLE (ACÉTATE DE);25,00 g;100 g;Principe Actif;2
68015521;Suspension;80577;VIRUS DE LA GRIPPE FRAGMENTÉ, INACTIVÉ, SOUCHE B/BRISBANE/60/2008;15 microgrammes d'hémagglutinine;une dose de 0,5 ml;Principe Actif;4
68024310;Comprimé;76788;CILAZAPRIL ANHYDRE;1 mg;un comprimé;Fraction Thérapeutique;1
68045361;Comprimé;96013;CHLORHYDRATE D'AMILORIDE ANHYDRE;5 mg;un comprimé;Fraction Thérapeutique;1
68050650;Comprimé;73594;CANDÉSARTAN CILEXÉTIL;8 mg;un comprimé;Principe Actif;1
68052587;Comprimé;99303;CEFPODOXIME PROXÉTIL;;;Principe Actif;1
68056361;Solution;5270;GINKGO (EXTRAIT DE);4 g titrant 24 % d'hétérosides de Ginkgo et 6 % de Ginkgolides-bilobalide;100 ml;Principe Actif;1
68062738;Gélule;37973;RIVASTIGMINE;6 mg;une gélule;Fraction Thérapeutique;1
68069437;Solution;14129;PÉFLOXACINE;400,0 mg;une ampoule de 5 ml;Fraction Thérapeutique;1
68074594;Compartiment : solution d'acides aminés;544;HISTIDINE;1,25 g;500 ml;Fraction Thérapeutique;8
68074594;Compartiment : solution d'acides aminés;563;LYSINE;2,26 g;500 ml;Fraction Thérapeutique;3
68074594;Compartiment : solution d'acides aminés;658;THRÉONINE;1,82 g;500 ml;Principe Actif;5
68086109;Comprimé;1830;THIOCOLCHICOSIDE;4 mg;un comprimé;Principe Actif;1
68096313;Gélule;4773;OMÉPRAZOLE;10 mg;une gélule;Principe Actif;1
68102816;Pommade;1412;ACEXAMATE DE SODIUM;5 g;100 g de pommade;Principe Actif;1
68122911;Gélule;16849;GABAPENTINE;400 mg;une gélule;Principe Actif;1
68126062;Comprimé;60311;NITRENDIPINE;20 mg;un comprimé;Principe Actif;1
68144676;Comprimé;89971;ESCITALOPRAM;10 mg;un comprimé;Fraction Thérapeutique;1
68158195;Gélule;93748;BÉSILATE D'AMLODIPINE;;;Principe Actif;1
68170799;Comprimé;21053;CAPTOPRIL;50 mg;un comprimé;Principe Actif;1
68170913;Solution;658;THRÉONINE;0,2932 g;100 ml de solution pour perfusion;Principe Actif;11
68184425;Solution;40054;VINORELBINE BASE;10 mg;1 ml;Fraction Thérapeutique;1
68196274;Comprimé;55485;RÉPAGLINIDE;0,5 mg;un comprimé;Principe Actif;1
68202115;Solution;1339;ERGOCALCIFÉROL;33 333 UI;un flacon de 10 ml;Principe Actif;2
68204269;Poudre;93286;ACIDE CLAVULANIQUE;12,5 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;2
68259696;Comprimé;1807;ÉTHINYLESTRADIOL;30,00 microgrammes;un comprimé;Principe Actif;1
68268275;Comprimé;549;IODE;99,38 mg;un comprimé;Fraction Thérapeutique;1
68305357;Granules;5495;GELSEMIUM SEMPERVIRENS POUR PRÉPARATIONS HOMÉOPATHIQUES;0,018 ml (8 DH);un tube de 7 g de granules;Principe Actif;3
68311278;Comprimé;74148;LINÉZOLIDE;600 mg;un comprimé;Principe Actif;27
68315604;Solution buvable en gouttes;8637;IODUM POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;un comprimé;Principe Actif;20
68315682;Gélule;3790;DIHYDROERGOTAMINE (MÉSILATE DE);5 mg;une gélule;Principe Actif;1
68329714;Poudre;30925;CEFTRIAXONE SODIQUE;;;Principe Actif;1
67918211;Collyre;200;MALÉATE DE TIMOLOL;6,8 mg;1 ml de solution;Principe Actif;2
67924919;Solution buvable en ampoules;32340;CALADIUM SEGUINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;23
67945482;Crème;817;DIFLUCORTOLONE (VALÉRATE DE);0,10 g;100 g de crème;Principe Actif;1
67953949;Solution;224;AUBÉPINE (EXTRAIT D') (FLUIDE);40 ml;100 ml de solution buvable;Principe Actif;1
67969992;Comprimé;53415;RITONAVIR;50 mg;un comprimé;Principe Actif;2
67970560;Comprimé;55340;DOXAZOSINE;4 mg;un comprimé;Fraction Thérapeutique;1
67972077;Solution;2666;MÉTHIONINE;3,61 g;1000 ml de solution pour perfusion;Principe Actif;5
67984371;Gélule;26851;HOUBLON;195 mg titrant au minimum 0,2% en huile essentielle;une gélule;Principe Actif;1
67995040;Gélule;4773;OMÉPRAZOLE;20 mg;une gélule;Principe Actif;1
67998759;Compartiment b;45730;(S)-LACTATE DE SODIUM;1,12 g de solution de (S)-lactate de sodium;1000 ml de solution mélangée;Principe Actif;6
68004603;Comprimé;37314;RISÉDRONATE MONOSODIQUE ANHYDRE;75 mg  équivalent à 69,6 mg d'acide risédronique;un comprimé;Fraction Thérapeutique;1
68008765;Gélule;37973;RIVASTIGMINE BASE;4,5 mg;une gélule;Fraction Thérapeutique;1
68026076;Poudre;49416;CEFTAZIDIME ANHYDRE;2 g;un flacon de poudre;Fraction Thérapeutique;1
68039248;Solution;5431;LIDOCAÏNE;3,2457g;100 ml de solution;Fraction Thérapeutique;4
68045233;Solution;92248;DIASPARTATE DE PASIRÉOTIDE;0,3762 mg;une ampoule de 1 ml;Principe Actif;1
68074594;Compartiment : solution d'acides aminés;4549;HYDROXYDE DE SODIUM;0,80 g;500 ml;Principe Actif;17
68091191;Solution;3011;MANNITOL;100 g;1000 ml;Principe Actif;1
68105513;Solution;152;MELALEUCA VIRIDIFLORA (ESSENCE DE);5 g;100 g de solution;Principe Actif;1
68105965;Comprimé;32131;CABERGOLINE;0,50 mg;un comprimé;Principe Actif;1
68120650;Compartiment b;899;BICARBONATE DE SODIUM;2,1 g;1000 ml de solution mélangée;Principe Actif;5
68137151;Poudre orale;9430;ARSENICUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un flacon;Principe Actif;23
68138584;Comprimé;4178;RIZOLIPASE;0,050 g;un comprimé;Principe Actif;7
68170913;Solution;1044;ACIDE GLUTAMIQUE;0,2670 g;100 ml de solution pour perfusion;Principe Actif;16
68170913;Solution;22650;PHOSPHATE MONOPOTASSIQUE;0,077 g;100 ml de solution pour perfusion;Principe Actif;24
68182805;Gélule;19698;MYCOPHÉNOLATE MOFÉTIL;250 mg;une gélule;Principe Actif;1
68193399;Comprimé;1807;ÉTHINYLESTRADIOL;0,02 mg;un comprimé;Principe Actif;2
68196349;Solution buvable en ampoules;43770;LAVANDULA VERA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;25
68198108;Comprimé;59691;QUÉTIAPINE;300 mg;un comprimé;Fraction Thérapeutique;1
68210311;Gélule;1958;FUROSÉMIDE;20 mg;une gélule;Principe Actif;6
68213325;Solution;24245;CHLORHYDRATE D'AMBROXOL;0,6 g;100 ml de solution buvable;Principe Actif;1
68245006;Comprimé;942;RUTINE (PH VIII);200 mg;un comprimé;Principe Actif;6
68257752;Solution;5376;DOCÉTAXEL TRIHYDRATÉ;;;Principe Actif;1
68268147;Comprimé;1830;THIOCOLCHICOSIDE;4 mg;un comprimé;Principe Actif;1
68282830;Comprimé;5087;CHLORHYDRATE D'OXYCODONE;30 mg;un comprimé;Principe Actif;1
68314370;Comprimé;71861;GLIMÉPIRIDE;2 mg;un comprimé;Principe Actif;1
68328338;Poudre;49416;CEFTAZIDIME ANHYDRE;250 mg;un flacon;Fraction Thérapeutique;1
68332774;Solution;432;GLUCONATE DE CALCIUM;9 g;100 ml de solution injectable;Principe Actif;1
68341392;Solution;51868;CHLORHYDRATE DE MIDAZOLAM;;;Principe Actif;1
68370547;Comprimé;31416;IRBÉSARTAN;300 mg;un comprimé;Principe Actif;1
68377958;Solution;901;SODIUM (CHLORURE DE);4 g;1000 ml;Principe Actif;2
68378654;Comprimé;2064;HYDROCHLOROTHIAZIDE;12,5 mg;un comprimé;Principe Actif;2
68380281;Poudre;93286;ACIDE CLAVULANIQUE;12,50 mg;1 ml de suspension reconstituée;Fraction Thérapeutique;2
