code_identifiant;presentation7;libéllé;Statut administratif de la présentation;Etat de commercialisation de la présentation;Date de la déclaration de commercialisation;Code Identifiant de Présentation à 13 chiffres;Agrément aux collectivités;taux_remboursement;prix€;indications_remboursement;dec;Prix
65667550;3723437;Plaquette(s) thermoformée(s) pvc-aluminium de 90 gélule(s);Présentation active;Déclaration de commercialisation;2008-07-30;3400937234375;oui;65 %;9;;86;9.86
65695934;3743813;Plaquette(s) thermoformée(s) pvc (aclar rx) polytrifluorochloroéthylène aluminium de 30 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-07-17;3400937438131;non;;;;;
65701216;3292227;Plaquette(s) thermoformée(s) pvc-aluminium de 16 gélule(s);Présentation active;Déclaration de commercialisation;1998-05-01;3400932922277;oui;65 %;1;;12;1.12
67019171;3745634;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 7 gélule(s);Présentation active;Déclaration de commercialisation;2006-09-13;3400937456340;oui;65 %;1;;97;1.97
67020316;3762578;Plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2007-01-30;3400937625784;oui;30 %;10;;1;10.1
67091719;4981905;Plaquette(s) thermoformée(s) pvc-aluminium de 7 comprimé(s);Présentation active;Déclaration de commercialisation;2011-02-28;3400949819058;non;;;;;
67111196;4939814;Plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-11-05;3400949398140;oui;65 %;8;;42;8.42
67119549;3526501;1 tube(s) polyéthylène de 30 g;Présentation active;Déclaration de commercialisation;2002-03-28;3400935265012;oui;30 %;5;;72;5.72
67139288;3799541;Plaquette(s) thermoformée(s) pvc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2011-07-04;3400937995412;oui;65 %;17;;94;17.94
67156234;3854599;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-04-03;3400938545999;oui;65 %;18;;91;18.91
67160962;3843561;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2011-02-14;3400938435610;oui;100 %;47;;01;47.01
67173618;3478179;1 poche(s) excel polyéthylène polypropylène de 500 ml;Présentation active;Déclaration d'arrêt de commercialisation;2014-01-09;3400934781797;non;;;;;
67181796;3675023;1 poche(s) polypropylène sis : styrène-isoprène-styrène styrène éthylène butadiène suremballée(s)/surpochée(s) de 500 ml;Présentation active;Déclaration de commercialisation;2008-02-01;3400936750234;oui;65 %;2;;14;2.14
67183480;3502417;Plaquette(s) thermoformée(s) pvc-aluminium de 10 comprimé(s);Présentation active;Déclaration de commercialisation;2010-10-27;3400935024176;oui;65 %;2;;82;2.82
67193204;3780694;Plaquette(s) thermoformée(s) pvc-aluminium de 7 gélule(s);Présentation active;Déclaration de commercialisation;2007-03-29;3400937806947;oui;65 %;20;;95;20.95
67201882;3980140;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2012-03-29;3400939801407;non;65 %;3;;06;3.06
67217826;3599753;Tube(s) polypropylène de 8  comprimé(s);Présentation active;Déclaration de commercialisation;2003-03-13;3400935997531;oui;65 %;1;;12;1.12
67226483;3484145;Plaquette(s) thermoformée(s) pvc-aluminium polyamide aluminium de 30 capsule(s);Présentation active;Déclaration de commercialisation;2000-06-19;3400934841453;oui;65 %;6;;12;6.12
67235518;3946172;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 10 comprimé(s);Présentation active;Déclaration de commercialisation;2009-08-27;3400939461724;oui;15 %;1;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Douleurs liées à des troubles fonctionnels intestinaux<br>- Spasmes douloureux aiguës des voies urinaires : coliques néphrétiques<br>- Spasmes douloureux gynécologiques<br>- Spasmes douloureux au cours de la grossesse - JOURNAL OFFICIEL  - 13/06/13 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;37;1.37
67235518;3946203;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 20 comprimé(s);Présentation active;Déclaration de commercialisation;2009-08-27;3400939462035;non;;;;;
67275313;3693133;Plaquette(s) thermoformée(s) pvc polyamide aluminium polytéréphtalate (pet) de 30 lyophilisat(s);Présentation active;Déclaration de commercialisation;2006-03-07;3400936931336;oui;65 %;46;Ce médicament peut être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Diabète insipide d'origine centrale pitresso-sensible<br>- Enurésie nocturne chez le patient à partir de de six ans - JOURNAL OFFICIEL  - 27/06/06 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;94;46.94
67275338;3172664;1 tube(s) aluminium verni de 50 g;Présentation active;Déclaration de commercialisation;2011-10-02;3400931726647;non;;;;;
65727136;3730058;Plaquette(s) thermoformée(s) aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2008-05-19;3400937300582;oui;65 %;10;;34;10.34
65769893;3986444;Plaquette(s) formée(s) à froid aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2010-03-19;3400939864440;oui;65 %;12;;39;12.39
65827097;3558978;Plaquette(s) thermoformée(s) pvc-aluminium de 16 comprimé(s);Présentation active;Déclaration de commercialisation;2004-06-24;3400935589781;oui;65 %;1;;12;1.12
65869452;5533936;25 ampoule(s) en verre de 5  ml;Présentation active;Déclaration de commercialisation;1970-02-19;3400955339366;oui;;;;;
65900339;3884459;Plaquette(s) thermoformée(s) pvc-aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2008-12-18;3400938844597;oui;100 %;76;;05;76.05
65907376;2228492;Flacon(s) polyéthylène haute densité (pehd) de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2013-10-23;3400922284927;oui;65 %;8;;42;8.42
65953509;3862854;6 seringue(s) préremplie(s) en verre de 0,9 ml;Présentation active;Déclaration de commercialisation;2009-02-25;3400938628548;oui;65 %;112;;73;112.73
65958239;3805431;Plaquette(s) thermoformée(s) aluminium pvc polyéthylène polychlortrifluoroéthylène de 28 comprimé(s);Présentation active;Déclaration de commercialisation;2007-10-22;3400938054316;non;;;;;
66003374;5812197;Plaquette(s) thermoformée(s) pvc-aluminium de 40 comprimé(s);Présentation active;Déclaration de commercialisation;2012-04-06;3400958121975;non;;;;;
66007700;3678464;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 28 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2015-05-06;3400936784642;oui;65 %;7;;84;7.84
66012964;5696265;10 poche(s) pvc suremballée(s)/surpochée(s) de 200 ml;Présentation active;Déclaration d'arrêt de commercialisation;2013-03-18;3400956962655;non;;;;;
66024991;4938393;Plaquette(s) thermoformée(s) aluminium de 90 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-10-09;3400949383931;non;65 %;24;;47;24.47
66032486;3605784;Plaquette(s) thermoformée(s) pvc-aluminium de 30  comprimé(s);Présentation active;Déclaration de commercialisation;2003-03-04;3400936057845;oui;65 %;4;;5;4.5
66036285;4911342;3 plaquette(s) thermoformée(s) pvc pvdc aluminium avec calendrier de 21 comprimé(s);Présentation active;Déclaration de commercialisation;2010-09-30;3400949113422;oui;65 %;4;;08;4.08
68887103;3421050;Plaquette(s) thermoformée(s) pvc-aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;1997-09-19;3400934210501;oui;65 %;8;;65;8.65
68930309;3393052;1 flacon(s) en verre de 60 ml avec cuillère-mesure polystyrène de 5 ml;Présentation active;Déclaration d'arrêt de commercialisation;2015-02-13;3400933930523;non;65 %;1;;08;1.08
68963451;3577987;1 flacon(s) en verre de 600 ui - 1 seringue(s) préremplie(s) en verre de 1 ml avec 6 seringue(s) polypropylène jetables avec aiguille(s);Présentation active;Déclaration d'arrêt de commercialisation;2015-03-24;3400935779878;oui;100 %;171;;29;171.29
68995940;2242144;Plaquette(s) aluminium de 14 gélule(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-01-31;3400922421445;non;;;;;
69026054;3395393;1 flacon(s) polyéthylène haute densité (pehd) de 30  comprimé(s);Présentation active;Déclaration de commercialisation;1996-07-19;3400933953935;oui;65 %;5;;91;5.91
69030106;3525335;Plaquette(s) thermoformée(s) pvc-aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2000-01-07;3400935253354;oui;65 %;9;;21;9.21
69054687;3001026;30 plaquette(s) pvc (aclar rx) polytrifluorochloroéthylène aluminium de 1 comprimé(s);Présentation active;Déclaration de commercialisation;2015-09-15;3400930010266;non;65 %;14;;4;14.4
69070613;3755851;Plaquette(s) thermoformée(s) aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2006-10-11;3400937558518;oui;65 %;7;;69;7.69
69082804;3771985;1 tube(s) aluminium verni de 2 g;Présentation active;Déclaration de commercialisation;2008-06-15;3400937719858;oui;65 %;204;;32;204.32
69131735;3234069;Plaquette(s) thermoformée(s) pvc-aluminium de 60 gélule(s);Présentation active;Déclaration de commercialisation;1981-02-19;3400932340699;oui;65 %;2;;49;2.49
69152989;3917302;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 14 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-01-30;3400939173023;non;;;;;
69172746;3746935;Plaquette(s) thermoformée(s) pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2012-08-22;3400937469357;oui;65 %;7;;46;7.46
69183696;3867254;Tube(s) polypropylène de 20 comprimé(s);Présentation active;Déclaration de commercialisation;2008-06-11;3400938672541;oui;;;;;
69198506;5742864;1 flacon(s) en verre de 37 mbq/ml;Présentation active;Déclaration de commercialisation;2010-05-10;3400957428648;oui;;;;;
69206223;3875176;Plaquette(s) thermoformée(s) pvc-aluminium de 180 comprimé(s);Présentation active;Déclaration d'arrêt de commercialisation;2013-07-26;3400938751765;non;65 %;11;;57;11.57
69235342;3004352;Plaquette(s) thermoformée(s) pvc pvdc aluminium polyéthylène de 50  comprimé(s);Présentation active;Déclaration de commercialisation;1967-01-19;3400930043523;oui;65 %;3;;46;3.46
69252651;5846693;5 ampoule(s) en verre de 5 ml;Présentation active;Déclaration de commercialisation;2014-10-21;3400958466939;oui;;;;;
69259329;4928012;Plaquette(s) thermoformée(s) aluminium de 270 comprimé(s);Présentation active;Déclaration de commercialisation;2011-01-09;3400949280124;oui;65 %;22;;49;22.49
69279246;2192771;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2012-12-06;3400921927719;oui;65 %;65;;52;65.52
69283419;3475287;Plaquette(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;1998-12-18;3400934752872;oui;65 %;4;Ce médicament peut-être pris en charge ou remboursé par l'Assurance Maladie dans les cas suivants :<br><br>- Hypertension artérielle<br>- Certaines pathologies rénales chez le patient diabètique insulino-dépendant<br>- Insuffisance cardiaque congestive <br>– Complications cardiaques suite à infarctus du myocarde chez les patients stabilisés uniquement, avec trouble fonctionnel du ventricule gauche et sans signe clinique d'insuffisance cardiaque - JOURNAL OFFICIEL  - 11/08/06 - Ceci est une synthèse . Pour une information exhaustive de référence , nous vous invitons à vous référer aux publications du Journal Officiel.;89;4.89
69290698;3413168;1 flacon(s) polyéthylène de 13 ml avec tube plongeur polyéthylène;Présentation active;Déclaration de commercialisation;1996-09-19;3400934131684;non;;;;;
69309586;4160083;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2012-02-05;3400941600838;oui;65 %;6;;64;6.64
69348361;3653518;1 flacon(s) polyéthylène avec fermeture de sécurité enfant de 28 gélule(s);Présentation active;Déclaration de commercialisation;2005-08-07;3400936535183;oui;65 %;39;;76;39.76
69350907;4921719;5 sachet(s) polyester aluminium p-a-m-éthylène (surlyn) avec fermeture de sécurité enfant de 1 dispositif(s);Présentation active;Déclaration d'arrêt de commercialisation;2014-01-10;3400949217199;non;65 %;18;;83;18.83
69352192;3732117;Plaquette(s) thermoformée(s) pvc-aluminium de 60 comprimé(s);Présentation active;Déclaration de commercialisation;2006-09-05;3400937321174;oui;65 %;2;;6;2.6
69355943;5724719;1 flacon(s) en verre de 5 ml;Présentation active;Déclaration d'arrêt de commercialisation;2013-03-31;3400957247195;non;;;;;
69356073;2161753;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2011-11-15;3400921617535;oui;65 %;6;;64;6.64
69369640;2190654;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 50 comprimé(s);Présentation active;Déclaration de commercialisation;2012-10-09;3400921906547;oui;;;;;
69372088;3819321;1 flacon(s) en verre brun avec cuillère-mesure polystyrène;Présentation active;Déclaration de commercialisation;2007-12-21;3400938193213;oui;65 %;14;;48;14.48
69385242;3890951;Plaquette(s) thermoformée(s) pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-08-31;3400938909517;oui;65 %;19;;4;19.4
69413282;3773576;1 flacon(s) en verre de 5,13 g avec seringue(s) pour administration orale polyéthylène polystyrène;Présentation active;Déclaration d'arrêt de commercialisation;2014-10-16;3400937735766;non;65 %;2;;74;2.74
67059130;3569108;1 flacon(s) polytéréphtalate (pet) de 60  comprimé(s);Présentation active;Déclaration de commercialisation;2002-04-02;3400935691088;oui;65 %;6;;18;6.18
67071047;3953338;1 flacon(s) en verre de 100 gélule(s);Présentation active;Déclaration de commercialisation;2010-08-16;3400939533384;oui;65 %;33;;57;33.57
67119257;3075079;1 flacon(s) polyéthylène haute densité (pehd) jaune(brun) avec gobelet(s) doseur(s) polypropylène de 60 ml;Présentation active;Déclaration de commercialisation;1957-01-19;3400930750797;non;;;;;
67127720;5759296;1 flacon(s) en verre suremballée(s)/surpochée(s) de 20 ml;Présentation active;Déclaration de commercialisation;2010-12-01;3400957592967;oui;;;;;
67132888;5602821;1 flacon(s) polyéthylène de 100 capsule(s);Présentation active;Déclaration de commercialisation;1997-03-28;3400956028214;oui;;;;;
67144043;3463539;1 flacon(s) pvc brun de 150 gélule(s);Présentation active;Déclaration de commercialisation;1999-09-19;3400934635397;non;;;;;
67153213;2205462;Plaquette(s) thermoformée(s) polyamide aluminium pvc de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2013-07-22;3400922054629;oui;65 %;6;;64;6.64
67159579;5770122;10 flacon(s) en verre;Présentation active;Déclaration de commercialisation;2011-01-01;3400957701222;oui;;;;;
67169242;3502392;Plaquette(s) thermoformée(s) polyamide aluminium pvc-aluminium de 90 comprimé(s);Présentation active;Déclaration de commercialisation;2010-06-09;3400935023926;oui;65 %;50;;08;50.08
67185182;3873013;Plaquette(s) thermoformée(s) pvc polyéthylène pvdc aluminium de 36 pastille(s);Présentation active;Déclaration de commercialisation;2009-03-31;3400938730135;oui;;;;;
67187799;3675773;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2005-07-26;3400936757738;oui;65 %;1;;85;1.85
67218579;3411040;1 flacon(s) en verre brun de 125 ml;Présentation active;Déclaration de commercialisation;1998-07-19;3400934110405;non;;;;;
67222054;3926749;Plaquette(s) thermoformée(s) pvc pvdc aluminium de 30 comprimé(s);Présentation active;Déclaration de commercialisation;2010-05-01;3400939267494;oui;65 %;5;;78;5.78
